date,symbol,discount_pct,days_to_maturity,liquidity_bucket,decision_flag
2026-02-11,PSF,-7.73,861,medium,CONSIDER
2026-02-11,RBBF40,-3.61,4292,low,IGNORE
2026-02-11,RMF1,-3.69,893,high,IGNORE
2026-02-11,RMF2,-7.56,2656,medium,IGNORE
2026-02-11,RSY,-7.98,3367,medium,IGNORE
2026-02-11,SAGF,-5.82,2846,high,IGNORE
2026-02-11,SBCF,-3.46,1869,medium,IGNORE
2026-02-11,SEF,-2.3,635,medium,IGNORE
2026-02-11,SFEF,-5.69,2192,high,IGNORE
2026-02-11,SFMF,-0.87,1362,low,IGNORE
2026-02-11,SIGS2,-5.86,1292,medium,CONSIDER
2026-02-11,SIGS3,-8.91,2635,high,IGNORE
2026-02-11,SLCF,-4.05,742,low,IGNORE
2026-02-12,C30MF,-7.26,2648,low,IGNORE
2026-02-12,CMF2,-2.09,146,medium,IGNORE
2026-02-12,GBIMESY2,-2.95,3443,low,IGNORE
2026-02-12,GIBF1,-7.45,2358,high,IGNORE
2026-02-12,GSY,-4.46,3246,high,IGNORE
2026-02-12,H8020,-4.03,2788,medium,IGNORE
2026-02-12,HLICF,-4.05,3502,medium,IGNORE
2026-02-12,KDBY,-5.94,2355,high,IGNORE
2026-02-12,KEF,-6.94,1860,medium,IGNORE
2026-02-12,KSY,-6.63,2957,low,IGNORE
2026-02-12,LUK,-15.09,1644,low,IGNORE
2026-02-12,LVF2,-15.51,2760,low,IGNORE
2026-02-12,MBLEF,-6.83,4061,high,IGNORE
2026-02-12,MMF1,-4.92,2034,high,IGNORE
2026-02-12,MNMF1,-5.18,3232,medium,IGNORE
2026-02-12,NBF2,-5.47,1204,high,CONSIDER
2026-02-12,NBF3,-5.39,2049,high,IGNORE
2026-02-12,NIBLGF,-2.56,2531,medium,IGNORE
2026-02-12,NIBLSTF,-5.03,3647,medium,IGNORE
2026-02-12,NIBSF2,-6.44,1932,medium,IGNORE
2026-02-12,NICBF,-8.37,1292,low,IGNORE
2026-02-12,NICFC,-8.58,1219,medium,CONSIDER
2026-02-12,NICGF2,-9.37,1742,medium,IGNORE
2026-02-12,NICSF,-6.5,874,medium,CONSIDER
2026-02-12,NMB50,-0.58,201,medium,IGNORE
2026-02-12,NMBHF2,-8.78,3302,medium,IGNORE
2026-02-12,NSIF2,-8.34,2393,high,IGNORE
2026-02-12,PRSF,-8.3,2222,medium,IGNORE
2026-02-12,PSF,-6.07,860,medium,CONSIDER
2026-02-12,RBBF40,-5.92,4291,medium,IGNORE
2026-02-12,RMF1,-4.19,892,high,CONSIDER
2026-02-12,RMF2,-4.95,2655,high,IGNORE
2026-02-12,RSY,-8.17,3366,medium,IGNORE
2026-02-12,SAGF,-5.82,2845,low,IGNORE
2026-02-12,SBCF,-17.11,1868,low,IGNORE
2026-02-12,SEF,-2.3,634,high,IGNORE
2026-02-12,SFEF,-14.26,2191,low,IGNORE
2026-02-12,SFMF,-9.47,1361,medium,CONSIDER
2026-02-12,SIGS2,-6.82,1291,low,IGNORE
2026-02-12,SIGS3,-3.9,2634,medium,IGNORE
2026-02-12,SLCF,-2.27,741,medium,IGNORE
2026-02-16,C30MF,-7.55,2644,medium,IGNORE
2026-02-16,CMF2,-1.79,142,low,IGNORE
2026-02-16,GBIMESY2,-4.89,3439,high,IGNORE
2026-02-16,GIBF1,-7.79,2354,low,IGNORE
2026-02-16,GSY,-4.95,3242,high,IGNORE
2026-02-16,H8020,-3.78,2784,high,IGNORE
2026-02-16,HLICF,-3.94,3498,low,IGNORE
2026-02-16,KDBY,-5.94,2351,medium,IGNORE
2026-02-16,KEF,-5.16,1856,medium,IGNORE
2026-02-16,KSY,-8.48,2953,low,IGNORE
2026-02-16,LUK,-15.09,1640,medium,IGNORE
2026-02-16,LVF2,-14.9,2756,medium,IGNORE
2026-02-16,MBLEF,-7.02,4057,high,IGNORE
2026-02-16,MMF1,-6.6,2030,medium,IGNORE
2026-02-16,MNMF1,-6.16,3228,medium,IGNORE
2026-02-16,NBF2,-7.77,1200,high,CONSIDER
2026-02-16,NBF3,-7.16,2045,medium,IGNORE
2026-02-16,NIBLGF,-4.5,2527,low,IGNORE
2026-02-16,NIBLSTF,-5.33,3643,medium,IGNORE
2026-02-16,NIBSF2,-7.16,1928,medium,IGNORE
2026-02-16,NICBF,-7.17,1288,medium,CONSIDER
2026-02-16,NICFC,-8.18,1215,medium,CONSIDER
2026-02-16,NICGF2,-9.66,1738,low,IGNORE
2026-02-16,NICSF,-6.71,870,medium,CONSIDER
2026-02-16,NMB50,1.36,197,medium,IGNORE
2026-02-16,NMBHF2,-7.82,3298,medium,IGNORE
2026-02-16,NSIF2,-7.57,2389,high,IGNORE
2026-02-16,PRSF,-7.89,2218,medium,IGNORE
2026-02-16,PSF,-7.9,856,low,IGNORE
2026-02-16,RBBF40,-8.12,4287,medium,IGNORE
2026-02-16,RMF1,-2.4,888,low,IGNORE
2026-02-16,RMF2,-8.4,2651,low,IGNORE
2026-02-16,RSY,-6.1,3362,high,IGNORE
2026-02-16,SAGF,-4.68,2841,high,IGNORE
2026-02-16,SBCF,-15.52,1864,high,IGNORE
2026-02-16,SEF,-3.69,630,high,IGNORE
2026-02-16,SFEF,-15.05,2187,low,IGNORE
2026-02-16,SFMF,-9.12,1357,high,CONSIDER
2026-02-16,SIGS2,-5.09,1287,medium,CONSIDER
2026-02-16,SIGS3,-4.36,2630,medium,IGNORE
2026-02-16,SLCF,-3.66,737,medium,IGNORE
2026-02-17,C30MF,-8.6,2643,low,IGNORE
2026-02-17,CMF2,1.59,141,low,IGNORE
2026-02-17,GBIMESY2,-5.3,3438,low,IGNORE
2026-02-17,GIBF1,-8.39,2353,low,IGNORE
2026-02-17,GSY,-3.96,3241,high,IGNORE
2026-02-17,H8020,-4.12,2783,medium,IGNORE
2026-02-17,HLICF,-0.31,3497,medium,IGNORE
2026-02-17,KDBY,-7.21,2350,medium,IGNORE
2026-02-17,KEF,-5.16,1855,medium,IGNORE
2026-02-17,KSY,-5.65,2952,medium,IGNORE
2026-02-17,LUK,-16.81,1639,medium,IGNORE
2026-02-17,LVF2,-16.39,2755,medium,IGNORE
2026-02-17,MBLEF,-7.57,4056,medium,IGNORE
2026-02-17,MMF1,-5.76,2029,medium,IGNORE
2026-02-17,MNMF1,-7.53,3227,medium,IGNORE
2026-02-17,NBF2,-7.68,1199,medium,CONSIDER
2026-02-17,NBF3,-7.35,2044,high,IGNORE
2026-02-17,NIBLGF,-2.76,2526,high,IGNORE
2026-02-17,NIBLSTF,-6.46,3642,medium,IGNORE
2026-02-17,NIBSF2,-5.32,1927,high,IGNORE
2026-02-17,NICBF,-3.88,1287,high,IGNORE
2026-02-17,NICFC,-8.18,1214,medium,CONSIDER
2026-02-17,NICGF2,-6.61,1737,high,IGNORE
2026-02-17,NICSF,-4.4,869,medium,CONSIDER
2026-02-17,NMB50,-1.36,196,low,IGNORE
2026-02-17,NMBHF2,-8.3,3297,medium,IGNORE
2026-02-17,NSIF2,-8.86,2388,low,IGNORE
2026-02-17,PRSF,-8.95,2217,high,IGNORE
2026-02-17,PSF,-6.9,855,medium,CONSIDER
2026-02-17,RBBF40,-4.51,4286,medium,IGNORE
2026-02-17,RMF1,-2.5,887,high,IGNORE
2026-02-17,RMF2,-7.1,2650,low,IGNORE
2026-02-17,RSY,-5.26,3361,high,IGNORE
2026-02-17,SAGF,-5.82,2840,low,IGNORE
2026-02-17,SBCF,-17.11,1863,high,IGNORE
2026-02-17,SEF,-2.89,629,medium,IGNORE
2026-02-17,SFEF,-15.49,2186,high,IGNORE
2026-02-17,SFMF,-9.2,1356,medium,CONSIDER
2026-02-17,SIGS2,-6.92,1286,low,IGNORE
2026-02-17,SIGS3,-5.2,2629,medium,IGNORE
2026-02-17,SLCF,-5.34,736,low,IGNORE
2026-02-22,C30MF,-8.21,2638,low,IGNORE
2026-02-22,CMF2,1.59,136,low,IGNORE
2026-02-22,GBIMESY2,-6.82,3433,low,IGNORE
2026-02-22,GIBF1,-8.82,2348,medium,IGNORE
2026-02-22,GSY,-6.63,3236,medium,IGNORE
2026-02-22,H8020,-4.03,2778,high,IGNORE
2026-02-22,HLICF,-3.53,3492,low,IGNORE
2026-02-22,KDBY,-10.23,2345,medium,IGNORE
2026-02-22,KEF,-6.75,1850,medium,IGNORE
2026-02-22,KSY,-8.09,2947,low,IGNORE
2026-02-22,LUK,-16.81,1634,low,IGNORE
2026-02-22,LVF2,-16.91,2750,medium,IGNORE
2026-02-22,MBLEF,-6.83,4051,medium,IGNORE
2026-02-22,MMF1,-5.24,2024,medium,IGNORE
2026-02-22,MNMF1,-4.5,3222,medium,IGNORE
2026-02-22,NBF2,-7.87,1194,medium,CONSIDER
2026-02-22,NBF3,-6.76,2039,high,IGNORE
2026-02-22,NIBLGF,1.13,2521,medium,IGNORE
2026-02-22,NIBLSTF,-5.64,3637,medium,IGNORE
2026-02-22,NIBSF2,-2.15,1922,high,IGNORE
2026-02-22,NICBF,-4.28,1282,low,IGNORE
2026-02-22,NICFC,-8.58,1209,high,CONSIDER
2026-02-22,NICGF2,-7.3,1732,high,IGNORE
2026-02-22,NICSF,-4.61,864,low,IGNORE
2026-02-22,NMB50,-0.19,191,high,IGNORE
2026-02-22,NMBHF2,-8.78,3292,medium,IGNORE
2026-02-22,NSIF2,-10.15,2383,high,IGNORE
2026-02-22,PRSF,-9.03,2212,medium,IGNORE
2026-02-22,PSF,-7.9,850,medium,CONSIDER
2026-02-22,RBBF40,-2.01,4281,medium,IGNORE
2026-02-22,RMF1,-3.69,882,high,IGNORE
2026-02-22,RMF2,-7.84,2645,medium,IGNORE
2026-02-22,RSY,-6.1,3356,high,IGNORE
2026-02-22,SAGF,-4.01,2835,medium,IGNORE
2026-02-22,SBCF,-15.52,1858,medium,IGNORE
2026-02-22,SEF,-5.89,624,high,CONSIDER
2026-02-22,SFEF,-15.75,2181,high,IGNORE
2026-02-22,SFMF,-9.2,1351,low,IGNORE
2026-02-22,SIGS2,-5.09,1281,low,IGNORE
2026-02-22,SIGS3,-5.2,2624,medium,IGNORE
2026-02-22,SLCF,-4.15,731,medium,CONSIDER
2026-02-23,C30MF,-6.4,2637,medium,IGNORE
2026-02-23,CMF2,-1.69,135,high,IGNORE
2026-02-23,GBIMESY2,-4.99,3432,medium,IGNORE
2026-02-23,GIBF1,-8.82,2347,medium,IGNORE
2026-02-23,GSY,-6.93,3235,medium,IGNORE
2026-02-23,H8020,-3.36,2777,high,IGNORE
2026-02-23,HLICF,-4.88,3491,low,IGNORE
2026-02-23,KDBY,-8.68,2344,medium,IGNORE
2026-02-23,KEF,-8.63,1849,low,IGNORE
2026-02-23,KSY,-9.06,2946,medium,IGNORE
2026-02-23,LUK,-14.75,1633,medium,IGNORE
2026-02-23,LVF2,-15.69,2749,medium,IGNORE
2026-02-23,MBLEF,-6.74,4050,medium,IGNORE
2026-02-23,MMF1,0.63,2023,high,IGNORE
2026-02-23,MNMF1,-7.14,3221,medium,IGNORE
2026-02-23,NBF2,-7.77,1193,low,IGNORE
2026-02-23,NBF3,-7.84,2038,medium,IGNORE
2026-02-23,NIBLGF,-1.23,2520,high,IGNORE
2026-02-23,NIBLSTF,-5.13,3636,medium,IGNORE
2026-02-23,NIBSF2,-6.85,1921,high,IGNORE
2026-02-23,NICBF,-4.38,1281,high,CONSIDER
2026-02-23,NICFC,-8.58,1208,medium,CONSIDER
2026-02-23,NICGF2,-8.78,1731,low,IGNORE
2026-02-23,NICSF,-6.81,863,medium,CONSIDER
2026-02-23,NMB50,1.65,190,medium,IGNORE
2026-02-23,NMBHF2,-6.94,3291,high,IGNORE
2026-02-23,NSIF2,-9.72,2382,low,IGNORE
2026-02-23,PRSF,-9.28,2211,medium,IGNORE
2026-02-23,PSF,-7.73,849,medium,CONSIDER
2026-02-23,RBBF40,-3.71,4280,medium,IGNORE
2026-02-23,RMF1,-3.69,881,high,IGNORE
2026-02-23,RMF2,-6.63,2644,low,IGNORE
2026-02-23,RSY,-7.98,3355,medium,IGNORE
2026-02-23,SAGF,-5.53,2834,low,IGNORE
2026-02-23,SBCF,-14.81,1857,high,IGNORE
2026-02-23,SEF,-4.09,623,high,CONSIDER
2026-02-23,SFEF,-16.01,2180,medium,IGNORE
2026-02-23,SFMF,-10.88,1350,high,CONSIDER
2026-02-23,SIGS2,-6.92,1280,low,IGNORE
2026-02-23,SIGS3,-6.13,2623,low,IGNORE
2026-02-23,SLCF,-5.93,730,low,IGNORE
2026-02-24,C30MF,-7.35,2636,low,IGNORE
2026-02-24,CMF2,-1.79,134,low,IGNORE
2026-02-24,GBIMESY2,-6.62,3431,medium,IGNORE
2026-02-24,GIBF1,-8.73,2346,low,IGNORE
2026-02-24,GSY,-6.83,3234,medium,IGNORE
2026-02-24,H8020,-3.36,2776,low,IGNORE
2026-02-24,HLICF,-5.08,3490,medium,IGNORE
2026-02-24,KDBY,-7.67,2343,medium,IGNORE
2026-02-24,KEF,-7.74,1848,medium,IGNORE
2026-02-24,KSY,-5.46,2945,high,IGNORE
2026-02-24,LUK,-16.38,1632,medium,IGNORE
2026-02-24,LVF2,-16.74,2748,high,IGNORE
2026-02-24,MBLEF,-6.74,4049,medium,IGNORE
2026-02-24,MMF1,0.73,2022,medium,IGNORE
2026-02-24,MNMF1,-5.18,3220,high,IGNORE
2026-02-24,NBF2,-7.77,1192,medium,CONSIDER
2026-02-24,NBF3,-7.84,2037,high,IGNORE
2026-02-24,NIBLGF,-3.17,2519,low,IGNORE
2026-02-24,NIBLSTF,-5.13,3635,high,IGNORE
2026-02-24,NIBSF2,-7.67,1920,medium,IGNORE
2026-02-24,NICBF,-4.38,1280,low,IGNORE
2026-02-24,NICFC,-8.18,1207,medium,CONSIDER
2026-02-24,NICGF2,-8.68,1730,medium,IGNORE
2026-02-24,NICSF,-4.61,862,high,CONSIDER
2026-02-24,NMB50,4.55,189,medium,IGNORE
2026-02-24,NMBHF2,-6.17,3290,high,IGNORE
