date,symbol,nav,ltp,discount_pct,volume,trades,source
2026-02-11,HLICF,9.64,9.4,-2.49,1300,12,nepse_playwright
2026-02-11,H8020,11.9,11.65,-2.1,31500,17,nepse_playwright
2026-02-11,CMF2,10.04,9.83,-2.09,100,1,nepse_playwright
2026-02-11,GIBF1,11.68,10.79,-7.62,10700,10,nepse_playwright
2026-02-11,GBIMESY2,9.82,9.48,-3.46,5315,11,nepse_playwright
2026-02-11,KDBY,10.95,10.0,-8.68,4510,32,nepse_playwright
2026-02-11,GSY,10.1,9.5,-5.94,14000,57,nepse_playwright
2026-02-11,NIBSF2,9.78,9.15,-6.44,5240,17,nepse_playwright
2026-02-11,MMF1,9.55,8.92,-6.6,16830,32,nepse_playwright
2026-02-11,SIGS3,10.77,9.81,-8.91,34300,10,nepse_playwright
2026-02-11,LVF2,11.41,9.5,-16.74,13670,17,nepse_playwright
2026-02-11,MBLEF,10.83,10.1,-6.74,48000,28,nepse_playwright
2026-02-11,MNMF1,10.23,9.45,-7.62,7200,18,nepse_playwright
2026-02-11,NBF2,10.42,9.68,-7.1,5000,12,nepse_playwright
2026-02-11,NBF3,10.2,9.77,-4.22,90149,34,nepse_playwright
2026-02-11,NIBLGF,9.77,9.8,0.31,50800,44,nepse_playwright
2026-02-11,C30MF,10.47,9.82,-6.21,14804,9,nepse_playwright
2026-02-11,KEF,10.08,9.3,-7.74,3710,14,nepse_playwright
2026-02-11,NIBLSTF,9.75,9.09,-6.77,3700,16,nepse_playwright
2026-02-11,RSY,10.65,9.8,-7.98,23700,36,nepse_playwright
2026-02-11,NICBF,10.04,9.19,-8.47,7300,7,nepse_playwright
2026-02-11,PRSF,12.29,11.26,-8.38,600,2,nepse_playwright
2026-02-11,NSIF2,11.63,10.7,-8.0,50800,10,nepse_playwright
2026-02-11,NICGF2,10.14,9.1,-10.26,130600,23,nepse_playwright
2026-02-11,NMB50,10.31,10.26,-0.48,52700,8,nepse_playwright
2026-02-11,NICSF,9.54,8.82,-7.55,4000,11,nepse_playwright
2026-02-11,PSF,12.03,11.1,-7.73,12449,20,nepse_playwright
2026-02-11,NMBHF2,10.36,9.4,-9.27,9230,38,nepse_playwright
2026-02-11,RBBF40,9.97,9.61,-3.61,350,3,nepse_playwright
2026-02-11,LUK,11.66,9.89,-15.18,2300,8,nepse_playwright
2026-02-11,SBCF,11.34,9.5,-16.23,8975,13,nepse_playwright
2026-02-11,KSY,10.26,9.58,-6.63,3650,12,nepse_playwright
2026-02-11,SAGF,10.48,9.87,-5.82,43000,15,nepse_playwright
2026-02-11,SEF,10.02,9.79,-2.3,5300,12,nepse_playwright
2026-02-11,SFEF,11.43,9.94,-13.04,58704,16,nepse_playwright
2026-02-11,SFMF,11.3,10.21,-9.65,2070,5,nepse_playwright
2026-02-11,SIGS2,10.41,9.8,-5.86,5000,7,nepse_playwright
2026-02-11,NICFC,10.02,9.16,-8.58,4200,21,nepse_playwright
2026-02-11,RMF1,10.02,9.65,-3.69,227200,34,nepse_playwright
2026-02-11,RMF2,10.71,9.9,-7.56,4650,5,nepse_playwright
2026-02-11,SLCF,10.12,9.71,-4.05,1950,7,nepse_playwright
