date,nav,source
2026-01-15,10.12,sharesansar_monthly
2026-02-15,10.15,sharesansar_monthly
2026-03-15,10.60,sharesansar_monthly
2026-04-15,10.65,sharesansar_monthly
2026-05-15,10.34,sharesansar_monthly
2026-06-15,10.36,sharesansar_monthly
2026-08-03,10.08,sharesansar_monthly
2026-08-15,10.14,sharesansar_monthly
