date,symbol,name,nav,ltp,discount_pct,volume,days_to_maturity,years_to_maturity,valuation_bucket,liquidity_bucket,decision_flag,ignore_reasons,rank,priority_rank,discount_trend,risk_flag,consider_streak,price_return_1d,price_return_1w,discount_change_1d,discount_change_1w,parkinson_vol,parkinson_vol_ann,intraday_range,avg_intraday_range,return_vol_5d,volume_cv,max_drawdown,sharpe_1m
2026-09-24,RMF2,RBB Mutual Fund 2,10.91,10.29,-5.68,89745,2431,6.66,moderate_discount,high,IGNORE,maturity:6.7y,14,,narrowing,,0,2.59,5.43,2.39,4.86,1.2011,19.07,3.7901,1.4397,2.2895,3.2832,-11.62,0.13
2026-09-24,GIBF1,Global IME Balanced Fund-I,11.78,11.7,-0.68,94671,2134,5.85,small_discount,high,IGNORE,valuation:small_discount; maturity:5.8y,16,,narrowing,,0,1.74,1.74,1.7,1.7,1.6354,25.96,3.1624,2.2948,1.8495,3.1869,-9.65,0.61
2026-09-24,HLICF,HLI Large Cap Fund,8.69,8.66,-0.35,3900250,3278,8.98,small_discount,high,IGNORE,valuation:small_discount; maturity:9.0y,31,,narrowing,high_vol,0,2.97,4.84,2.87,4.6,2.2663,35.98,4.7344,3.2929,1.9236,5.635,-17.15,-0.73
2026-09-24,PSF,Prabhu Select Fund,13.09,10.86,-17.04,292062,636,1.74,deep_discount,high,CONSIDER,,1,1.0,stable,,76,-0.64,-0.46,-0.54,-0.39,1.8007,28.59,2.4862,2.5648,0.5818,2.3403,-13.64,-0.2
2026-09-24,NICFC,NIC Asia Flexi Cap Fund,10.3,8.87,-13.88,3400,995,2.73,deep_discount,medium,CONSIDER,,10,2.0,widening,,4,-0.45,-1.0,-0.38,-0.87,1.7838,28.32,2.593,2.5722,1.0823,1.4907,-12.33,-0.3
2026-09-24,SIGS2,Siddhartha Investment Growth Scheme-2,10.95,9.46,-13.61,5000,1067,2.92,deep_discount,medium,CONSIDER,,17,4.0,widening,,1,0.0,-1.46,0.0,-1.28,1.1389,18.08,0.3171,1.1904,0.5842,2.1126,-17.37,-0.21
2026-09-24,NBF2,Nabil Balanced Fund - 2,10.47,9.21,-12.03,10100,980,2.68,deep_discount,medium,CONSIDER,,11,3.0,widening,,3,-0.43,-3.56,-0.38,-3.24,1.4098,22.38,0.5429,1.8626,2.6368,3.0928,-13.84,-0.49
2026-09-24,NICSF,NIC Asia Select-30,9.48,8.6,-9.28,4648,650,1.78,deep_discount,medium,CONSIDER,,26,7.0,narrowing,,3,0.0,1.18,0.0,1.06,2.0171,32.02,7.5581,2.9436,1.9532,6.8135,-16.16,-0.25
2026-09-24,RMF1,RBB Mutual Fund 1,10.31,9.39,-8.92,67440,668,1.83,deep_discount,high,CONSIDER,,25,6.0,widening,high_vol,1,1.08,-0.74,0.97,-0.68,2.3256,36.92,2.8754,3.1516,0.9466,2.6721,-10.78,-0.12
2026-09-24,SEF,Siddhartha Equity Fund,10.36,9.7,-6.37,49800,410,1.12,moderate_discount,high,CONSIDER,,22,5.0,narrowing,,24,0.0,1.36,0.0,1.26,1.9075,30.28,1.8557,2.2914,0.8773,1.8786,-12.3,-0.09
